,Unnamed: 0,Site No,Site Name,EDI Number,Street Name,Town,State,Post Code,Telephone,Date opened,Address,Location,Point,latitude,longitude
73,73,2988,Townsville RDC  - Fresh,9300633029883,Jay Street,Bohle Townsville,Queensland,4818,#,01.07.2020,"Jay Street, Bohle Townsville, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
74,74,2989,Sunpork Kingaroy,9300633029890,206 Kingaroy Barkers Creek Rd,Kingaroy,Queensland,4610,#,05.10.2018,"206 Kingaroy Barkers Creek Rd, Kingaroy, Queensland 4610 Australia","206 Kingaroy Barkers Creek Rd, Kingaroy, Queensland, 4610","(-26.54421821075688, 151.8595378062965, 0.0)",-26.54421821075688,151.8595378062965
75,75,2990,Brisbane RDC - Confectionery,9300633029906,70 Distribution Street,Larapinta,Queensland,4110,07 3809 1700,27.10.2008,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
76,76,2991,Brisbane RDC-Security-Aerosols,9300633029913,70 Distribution Street,Larapinta,Queensland,4110,07 3809 1700,27.10.2008,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
77,77,2993,Brisbane RDC - Ambient,9300633029937,70 Distribution Street,Larapinta,Queensland,4110,#,11.09.2006,"70 Distribution Street, Larapinta, Queensland 4110 Australia","70 Distribution St, Larapinta, Brisbane, Queensland, 4110","(-27.645848518072555, 153.00603924924786, 0.0)",-27.645848518072555,153.00603924924786
78,78,2994,Americold Chilled DC Murarrie,9300633029944,51 Alexandra Place,Murarrie,Queensland,4172,#,12.11.2007,"51 Alexandra Place, Murarrie, Queensland 4172 Australia","51 Alexandra Pl, Murarrie, Brisbane, Queensland, 4172","(-27.460692193108002, 153.10772036812625, 0.0)",-27.460692193108002,153.10772036812625
79,79,2995,Townsville RDC - Ambient,9300633029951,Jay Street,Bohle,Queensland,4818,07 4753 3600,01.07.2020,"Jay Street, Bohle, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
80,80,2996,Townsville RDC - Produce,9300633029968,Jay Street,Bohle Townsville,Queensland,4818,#,01.07.2020,"Jay Street, Bohle Townsville, Queensland 4818 Australia","Jay St, Mount St John, Townsville, Queensland, 4818","(-19.24690147162299, 146.73920954956745, 0.0)",-19.24690147162299,146.73920954956745
81,81,2998,Qube - Qld,9300633029982,1 Bingera Drive,Port Brisbane Fisherman Isl,Queensland,4178,07 3895 9542,01.08.2009,"1 Bingera Drive, Port Brisbane Fisherman Isl, Queensland 4178 Australia","1 Bingera Dr, Port Of Brisbane, Brisbane, Queensland, 4178","(-27.37554819200912, 153.1814097022551, 0.0)",-27.37554819200912,153.1814097022551
82,82,3872,Thomas Dux Produce Virtual DC,9300633038724,"MELBOURNE MARKET PAD 6, W/H 9",Epping,Victoria,3076,03 9689 1408,#,"MELBOURNE MARKET PAD 6, W/H 9, Epping, Victoria 3076 Australia","3076, Epping, Melbourne, Victoria","(-37.64042360428834, 145.01852496864848, 0.0)",-37.64042360428834,145.01852496864848
83,83,3902,Hume D.C.                 L337,9300633039028,120 Northcorp Boulevarde,Broadmeadows,Victoria,3047,03 9358-5625,01.07.1999,"120 Northcorp Boulevarde, Broadmeadows, Victoria 3047 Australia","120 Northcorp Bvd, Broadmeadows, Melbourne, Victoria, 3047","(-37.68009076718245, 144.94726003378037, 0.0)",-37.68009076718245,144.94726003378037
84,84,3907,Americold Laverton - Chilled D,9300633039073,73 Boundary Road,Laverton North,Victoria,3026,#,21.01.2010,"73 Boundary Road, Laverton North, Victoria 3026 Australia","73 Boundary Rd, Laverton North, Melbourne, Victoria, 3026","(-37.81507100808204, 144.80221304334805, 0.0)",-37.81507100808204,144.80221304334805
85,85,3908,Americold Laverton DC,9300633039080,73 Boundary Road,Laverton North,Victoria,3026,03 9296 1444,01.09.1998,"73 Boundary Road, Laverton North, Victoria 3026 Australia","73 Boundary Rd, Laverton North, Melbourne, Victoria, 3026","(-37.81507100808204, 144.80221304334805, 0.0)",-37.81507100808204,144.80221304334805
86,86,3911,Melbourne NDC,9300633039110,522 Wellington Road,Mulgrave,Victoria,3170,03 9263 2444,05.10.1998,"522 Wellington Road, Mulgrave, Victoria 3170 Australia","522 Wellington Rd, Mulgrave, Melbourne, Victoria, 3170","(-37.92197598047647, 145.18303500729752, 0.0)",-37.92197598047647,145.18303500729752
87,87,3914,Melbourne Fresh DC - Events,9300633039141,85 Foundation Road,Truganina,Victoria,3029,#,07.05.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
88,88,3916,Americold Laverton Meat DC,9300633039165,73 Boundary Road,Laverton North,Victoria,3026,03 9296 1444,28.09.2007,"73 Boundary Road, Laverton North, Victoria 3026 Australia","73 Boundary Rd, Laverton North, Melbourne, Victoria, 3026","(-37.81507100808204, 144.80221304334805, 0.0)",-37.81507100808204,144.80221304334805
89,89,3919,Mulgrave Produce DC,9300633039196,522 Wellington Road,Mulgrave,Victoria,3170,03 9263 2483,05.06.2009,"522 Wellington Road, Mulgrave, Victoria 3170 Australia","522 Wellington Rd, Mulgrave, Melbourne, Victoria, 3170","(-37.92197598047647, 145.18303500729752, 0.0)",-37.92197598047647,145.18303500729752
90,90,3920,Qube - Vic,9300633039202,19 - 43 Enterprize Road,West Melbourne,Victoria,3003,0403 368 227,19.12.2008,"19 - 43 Enterprize Road, West Melbourne, Victoria 3003 Australia","43 Enterprize Rd, West Melbourne, Melbourne, Victoria, 3003","(-37.81203542820104, 144.9317705096692, 0.0)",-37.81203542820104,144.9317705096692
91,91,3921,Salvage Warehouse,9300633039219,522 Wellington Road,Mulgrave,Victoria,3170,03 9263 2444,#,"522 Wellington Road, Mulgrave, Victoria 3170 Australia","522 Wellington Rd, Mulgrave, Melbourne, Victoria, 3170","(-37.92197598047647, 145.18303500729752, 0.0)",-37.92197598047647,145.18303500729752
92,92,3924,MNDC Milk DC,9300633039240,522 WELLINGTON ROAD,Mulgrave,Victoria,3170,#,09.03.2016,"522 WELLINGTON ROAD, Mulgrave, Victoria 3170 Australia","522 Wellington Rd, Mulgrave, Melbourne, Victoria, 3170","(-37.92197598047647, 145.18303500729752, 0.0)",-37.92197598047647,145.18303500729752
93,93,3926,Americold Laverton Milk DC,9300633039264,73 Boundary Road,Laverton North,Victoria,3026,#,01.01.2019,"73 Boundary Road, Laverton North, Victoria 3026 Australia","73 Boundary Rd, Laverton North, Melbourne, Victoria, 3026","(-37.81507100808204, 144.80221304334805, 0.0)",-37.81507100808204,144.80221304334805
94,94,3927,Xmas Hams AB Oxford,9300633039271,1 Hume Rd,Laverton North,Victoria,3026,#,05.10.2018,"1 Hume Rd, Laverton North, Victoria 3026 Australia","1 Hume Rd, Laverton North, Melbourne, Victoria, 3026","(-37.82659226927282, 144.79642349518667, 0.0)",-37.82659226927282,144.79642349518667
95,95,3928,Mulgrave DC - Bulk,9300633039288,522 Wellington Road,Mulgrave,Victoria,3170,03 9263 2444,03.06.2021,"522 Wellington Road, Mulgrave, Victoria 3170 Australia","522 Wellington Rd, Mulgrave, Melbourne, Victoria, 3170","(-37.92197598047647, 145.18303500729752, 0.0)",-37.92197598047647,145.18303500729752
96,96,3929,Americold Laverton - Fresh DC,9300633039295,73 Boundary Road,Laverton North,Victoria,3026,#,06.01.2010,"73 Boundary Road, Laverton North, Victoria 3026 Australia","73 Boundary Rd, Laverton North, Melbourne, Victoria, 3026","(-37.81507100808204, 144.80221304334805, 0.0)",-37.81507100808204,144.80221304334805
97,97,3930,Melbourne Fresh DC - Milk,9300633039301,85 Foundation Road,Truganina,Victoria,3029,#,23.04.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
98,98,3931,Wodonga RDC - C.A.R.S,9300633039318,28 Bilston Drive,Barnawartha,Victoria,3691,02 6042 8200,01.01.2010,"28 Bilston Drive, Barnawartha, Victoria 3691 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
99,99,3933,Wodonga RDC - Ambient,9300633039332,28 Bilston Drive,Barnawartha,Victoria,3691,#,04.07.2005,"28 Bilston Drive, Barnawartha, Victoria 3691 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
100,100,3936,Wodonga RDC - Produce,9300633039363,28 Bilston Drive,Barnawartha,Victoria,3691,03 9263 2483,04.07.2005,"28 Bilston Drive, Barnawartha, Victoria 3691 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
101,101,3937,Wodonga RDC - Chilled,9300633039370,28 Bilston Drive,Barnawartha,Victoria,3691,#,07.08.2006,"28 Bilston Drive, Barnawartha, Victoria 3691 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
102,102,3938,Wodonga RDC - Frozen,9300633039387,28 Bilston Drive,Barnawartha,Victoria,3691,#,26.10.1998,"28 Bilston Drive, Barnawartha, Victoria 3691 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
103,103,3939,Wodonga RDC - Fresh,9300633039394,28 Bilston Drive,Barnawartha,Victoria,3691,#,09.11.2006,"28 Bilston Drive, Barnawartha, Victoria 3691 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
104,104,3941,HDS(Home Delivery Services) PF,9300633039417,2C - 300 Victoria rd,Wetherill Park,New South Wales,2164,#,03.08.2022,"2C - 300 Victoria rd, Wetherill Park, New South Wales 2164 Australia","300 Victoria Rd, Wetherill Park, Sydney, New South Wales, 2164","(-33.8457833341536, 150.9014525780927, 0.0)",-33.8457833341536,150.9014525780927
105,105,3944,Linfox Somerton,9300633039448,1 Regional Drive,Somerton,Victoria,3062,#,#,"1 Regional Drive, Somerton, Victoria 3062 Australia","Regional Dr, Somerton, Melbourne, Victoria, 3062","(-37.63403404299062, 144.94763064878057, 0.0)",-37.63403404299062,144.94763064878057
106,106,3945,Mulgrave Outside Storage,9300633039455,"Lot 1, 155 Union Road",Somerton,Victoria,3062,#,15.10.2010,"Lot 1, 155 Union Road, Somerton, Victoria 3062 Australia","155 Union Rd, Somerton, Melbourne, Victoria, 3062","(-37.63297076692477, 144.9430434335689, 0.0)",-37.63297076692477,144.9430434335689
107,107,3947,Melbourne Fresh DC - Fresh,9300633039479,85 Foundation Road,Truganina,Victoria,3029,#,23.04.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
108,108,3948,Melbourne Fresh - TC PTZ,9300633039486,85 Foundation Road,Truganina,Victoria,3029,#,23.04.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
109,109,3949,Woolworths Victoria Meat Centr,9300633039493,267 Dohertys Road,Truganina,Victoria,3029,03 9263 2444,#,"267 Dohertys Road, Truganina, Victoria 3029 Australia","267 Dohertys Rd, Truganina, Melbourne, Victoria, 3029","(-37.826697084972025, 144.76589031739434, 0.0)",-37.826697084972025,144.76589031739434
110,110,3950,Wodonga RDC - Milk,9300633039509,28 Bilston Drive,Barnawartha,Victoria,3688,02 6042 8200,09.08.2010,"28 Bilston Drive, Barnawartha, Victoria 3688 Australia","28 Bilston Dr, Barnawartha North, Barnawartha, Victoria, 3691","(-36.07702352115936, 146.72136956381667, 0.0)",-36.07702352115936,146.72136956381667
111,111,3953,Melbourne Fresh DC - Produce,9300633039530,85 Foundation Road,Truganina,Victoria,3029,#,07.05.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
112,112,3954,Victoria Events DC,9300633039547,73 Boundary Road,Laverton North,Victoria,3029,03 9296 01444,14.10.2010,"73 Boundary Road, Laverton North, Victoria 3029 Australia","Boundary Rd, Laverton North, Melbourne, Victoria, 3026","(-37.812149998644436, 144.76930996625185, 0.0)",-37.812149998644436,144.76930996625185
113,113,3955,MLDC - Events,9300633039554,1-23 Interchange Drive,Laverton North,Victoria,3026,03 8345 8000,02.04.2012,"1-23 Interchange Drive, Laverton North, Victoria 3026 Australia","1-23 Interchange Dr, Laverton North, Melbourne, Victoria, 3026","(-37.84119861565586, 144.7686543337855, 0.0)",-37.84119861565586,144.7686543337855
114,114,3958,Melbourne Fresh DC - Chilled,9300633039585,85 Foundation Road,Truganina,Victoria,3029,#,01.08.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
115,115,3963,Woolworths Mulgrave Support Of,9300633039639,522 Wellington Road,Mulgrave,Victoria,3170,03 9263 2444,#,"522 Wellington Road, Mulgrave, Victoria 3170 Australia","522 Wellington Rd, Mulgrave, Melbourne, Victoria, 3170","(-37.92197598047647, 145.18303500729752, 0.0)",-37.92197598047647,145.18303500729752
116,116,3966,AFG - AB Oxford (3PL Coldstora,9300633039660,1 Hume Rd,Laverton North,Victoria,3026,#,05.10.2018,"1 Hume Rd, Laverton North, Victoria 3026 Australia","1 Hume Rd, Laverton North, Melbourne, Victoria, 3026","(-37.82659226927282, 144.79642349518667, 0.0)",-37.82659226927282,144.79642349518667
117,117,3967,Frew Lamb Abattoir,9300633039677,46 Abattoir road,Stawell,Victoria,3380,#,#,"46 Abattoir road, Stawell, Victoria 3380 Australia","46 Abattoir Rd, Stawell, Victoria, 3380","(-37.05548810635483, 142.75728062854955, 0.0)",-37.05548810635483,142.75728062854955
118,118,3977,Lineage,9300633039776,1 Hume Road,Laverton,Victoria,3026,#,28.07.2020,"1 Hume Road, Laverton, Victoria 3026 Australia","1 Hume Rd, Laverton North, Melbourne, Victoria, 3026","(-37.82659226927282, 144.79642349518667, 0.0)",-37.82659226927282,144.79642349518667
119,119,3978,Melbourne Fresh DC - VIC Chill,9300633039783,85 Foundation Road,Truganina,Victoria,3029,#,23.04.2020,"85 Foundation Road, Truganina, Victoria 3029 Australia","85 Foundation Rd, Truganina, Melbourne, Victoria, 3029","(-37.831035390417576, 144.76389534061957, 0.0)",-37.831035390417576,144.76389534061957
120,120,3979,Melbourne LDC - Ambient,9300633039790,1-23 Interchange Drive,Laverton North,Victoria,3026,#,19.06.2008,"1-23 Interchange Drive, Laverton North, Victoria 3026 Australia","1-23 Interchange Dr, Laverton North, Melbourne, Victoria, 3026","(-37.84119861565586, 144.7686543337855, 0.0)",-37.84119861565586,144.7686543337855
121,121,3984,Melbourne South RDC - Manual,9300633039844,2 Portlink Drive,Dandenong South Vic,Victoria,3175,#,24.05.2019,"2 Portlink Drive, Dandenong South Vic, Victoria 3175 Australia","2 Portlink Dr, Dandenong South, Melbourne, Victoria, 3175","(-38.05663716423169, 145.22803610434198, 0.0)",-38.05663716423169,145.22803610434198
122,122,3986,Melbourne RDC - Produce,9300633039868,Confirm Delivery Address,Please confirm with your buyer,Victoria,3170,03 9263 2444,22.06.2010,"Confirm Delivery Address, Please confirm with your buyer, Victoria 3170 Australia",3170,"(-37.92137999999994, 145.16545600000006, 0.0)",-37.92137999999994,145.16545600000006
123,123,3989,LINFOX Erskine Park,9300633039899,6-7 John Morphette Place,Erskine Park,New South Wales,2759,#,01.11.2016,"6-7 John Morphette Place, Erskine Park, New South Wales 2759 Australia","6-7 John Morphett Pl, Erskine Park, Sydney, New South Wales, 2759","(-33.81182560409039, 150.7935489019349, 0.0)",-33.81182560409039,150.7935489019349
124,124,3995,Melbourne South Regional DC,9300633039950,2 Portlink Drive,Dandenong South,Victoria,3175,#,20.04.2018,"2 Portlink Drive, Dandenong South, Victoria 3175 Australia","2 Portlink Dr, Dandenong South, Melbourne, Victoria, 3175","(-38.05663716423169, 145.22803610434198, 0.0)",-38.05663716423169,145.22803610434198
125,125,4548,4548 WA Test DC,9300633045487,X,Newman,Western Australia,4548,08 9876 5431,08.09.2010,"X, Newman, Western Australia 4548 Australia","Newman, Western Australia","(-23.358059999999966, 119.73792000000003, 0.0)",-23.358059999999966,119.73792000000003
126,126,4590,Hoxton Park Contingency,9300633045906,40 Blackbird Close,Hoxton Park,New South Wales,2171,#,03.06.2019,"40 Blackbird Close, Hoxton Park, New South Wales 2171 Australia","40 Blackbird Cl, Len Waters Estate, New South Wales, 2171","(-33.91233895621837, 150.85125830529785, 0.0)",-33.91233895621837,150.85125830529785
127,127,4594,4594 Virtual SM Hub 4594,9300633045944,Cnr Fairfield and Dursley Rd,Yennora,New South Wales,2161,#,03.06.2019,"Cnr Fairfield and Dursley Rd, Yennora, New South Wales 2161 Australia","Fairfield Rd & Dursley Rd, Yennora, Sydney, New South Wales, 2161","(-33.8575899991475, 150.95866996373917, 0.0)",-33.8575899991475,150.95866996373917
128,128,4595,4595 Virtual SM Hub 4595,9300633045951,Cnr Fairfield and Dursley Rd,Yennora,New South Wales,2161,#,03.06.2019,"Cnr Fairfield and Dursley Rd, Yennora, New South Wales 2161 Australia","Fairfield Rd & Dursley Rd, Yennora, Sydney, New South Wales, 2161","(-33.8575899991475, 150.95866996373917, 0.0)",-33.8575899991475,150.95866996373917
129,129,4596,4596 Virtual SM Hub 4596,9300633045968,Cnr Fairfield and Dursley Rd,Yennora,New South Wales,2161,#,03.06.2019,"Cnr Fairfield and Dursley Rd, Yennora, New South Wales 2161 Australia","Fairfield Rd & Dursley Rd, Yennora, Sydney, New South Wales, 2161","(-33.8575899991475, 150.95866996373917, 0.0)",-33.8575899991475,150.95866996373917
130,130,4597,4597 Virtual SM Hub 4597,9300633045975,Cnr Fairfield and Dursley Rd,Yennora,New South Wales,2161,#,03.06.2019,"Cnr Fairfield and Dursley Rd, Yennora, New South Wales 2161 Australia","Fairfield Rd & Dursley Rd, Yennora, Sydney, New South Wales, 2161","(-33.8575899991475, 150.95866996373917, 0.0)",-33.8575899991475,150.95866996373917
131,131,4598,4598 Virtual SM Hub 4598,9300633045982,Cnr Fairfield and Dursley Rd,Yennora,New South Wales,2161,#,03.06.2019,"Cnr Fairfield and Dursley Rd, Yennora, New South Wales 2161 Australia","Fairfield Rd & Dursley Rd, Yennora, Sydney, New South Wales, 2161","(-33.8575899991475, 150.95866996373917, 0.0)",-33.8575899991475,150.95866996373917
132,132,4599,Linfox Paradise Rd,9300633045999,152 Paradise Rd,Willawong,Queensland,4110,#,03.06.2019,"152 Paradise Rd, Willawong, Queensland 4110 Australia","152 Paradise Rd, Willawong, Brisbane, Queensland, 4110","(-27.600291491300005, 153.0284775202295, 0.0)",-27.600291491300005,153.0284775202295
133,133,4799,Auburn CFC Temp DC,9300633047993,11-13 Percy St,Auburn,New South Wales,2144,#,11.05.2020,"11-13 Percy St, Auburn, New South Wales 2144 Australia","13 Percy St, Auburn, Sydney, New South Wales, 2144","(-33.85045205422232, 151.04143061257963, 0.0)",-33.85045205422232,151.04143061257963
134,134,4903,Americold Spearwood RDC Freeze,9300633049034,Quarimor Road,Spearwood,Western Australia,6163,08 9418 3300,09.06.2006,"Quarimor Road, Spearwood, Western Australia 6163 Australia","Quarimor Rd, Bibra Lake, Perth, Western Australia, 6163","(-32.10480551191789, 115.79857161573467, 0.0)",-32.10480551191789,115.79857161573467
135,135,4905,Americold Spearwood Events,9300633049058,Quarimor Rd,Spearwood,Western Australia,6163,08 9418 3300,21.06.2021,"Quarimor Rd, Spearwood, Western Australia 6163 Australia","Quarimor Rd, Bibra Lake, Perth, Western Australia, 6163","(-32.10480551191789, 115.79857161573467, 0.0)",-32.10480551191789,115.79857161573467
136,136,4914,Americold Spearwood DOM,9300633049140,1 Quarimor Rd,Bibra Lake,Western Australia,6163,08 9351 5143,19.10.2020,"1 Quarimor Rd, Bibra Lake, Western Australia 6163 Australia","1 Quarimor Rd, Bibra Lake, Perth, Western Australia, 6163","(-32.105929144707474, 115.80019555790358, 0.0)",-32.105929144707474,115.80019555790358
137,137,4915,Linfox Leaks Rd,9300633049157,23-27 Leakes Road,Laverton North,Victoria,3026,#,27.11.2019,"23-27 Leakes Road, Laverton North, Victoria 3026 Australia","23 Leakes Rd, Laverton North, Melbourne, Victoria, 3026","(-37.843264880517154, 144.77629678546276, 0.0)",-37.843264880517154,144.77629678546276
138,138,4916,Bunbury Lamb Boning Room,9300633049164,Rawling Road,Bunbury,Western Australia,6231,08 9725 4844,16.05.1994,"Rawling Road, Bunbury, Western Australia 6231 Australia","Rawling Rd, Davenport, Bunbury, Western Australia, 6230","(-33.36248028944565, 115.68493187485231, 0.0)",-33.36248028944565,115.68493187485231
139,139,4917,V and V Walsh,9300633049171,1 Rawling Rd,Davenport,Western Australia,6230,#,18.08.2020,"1 Rawling Rd, Davenport, Western Australia 6230 Australia","Rawling Rd, Davenport, Bunbury, Western Australia, 6230","(-33.36248028944565, 115.68493187485231, 0.0)",-33.36248028944565,115.68493187485231
140,140,4918,Xmas Hams - Spearwood,9300633049188,1 Quarimor Rd,Bibra Lake,Western Australia,6163,#,05.10.2018,"1 Quarimor Rd, Bibra Lake, Western Australia 6163 Australia","1 Quarimor Rd, Bibra Lake, Perth, Western Australia, 6163","(-32.105929144707474, 115.80019555790358, 0.0)",-32.105929144707474,115.80019555790358
141,141,4919,Adams Foods Spearwood,9300633049195,1 Quarimor Rd,Bibra Lake,Western Australia,6163,#,05.10.2018,"1 Quarimor Rd, Bibra Lake, Western Australia 6163 Australia","1 Quarimor Rd, Bibra Lake, Perth, Western Australia, 6163","(-32.105929144707474, 115.80019555790358, 0.0)",-32.105929144707474,115.80019555790358
142,142,4930,Perth RDC - Confectionery,9300633049300,20-60 Colquhoun Road,Perth International Airport,Western Australia,6105,#,01.06.2017,"20-60 Colquhoun Road, Perth International Airport, Western Australia 6105 Australia","20 Colquhoun Rd, Perth Airport, Perth, Western Australia, 6105","(-31.97496006357249, 115.97049764169867, 0.0)",-31.97496006357249,115.97049764169867
143,143,4932,Perth RDC - Security,9300633049324,20-60 Colquhoun Road,Perth International Airport,Western Australia,6105,#,04.07.2014,"20-60 Colquhoun Road, Perth International Airport, Western Australia 6105 Australia","20 Colquhoun Rd, Perth Airport, Perth, Western Australia, 6105","(-31.97496006357249, 115.97049764169867, 0.0)",-31.97496006357249,115.97049764169867
144,144,4933,Perth RDC - Ambient     L61601,9300633049331,20-60 Colquhoun Road,Perth International Airport,Western Australia,6105,08 9334 6401,31.12.2004,"20-60 Colquhoun Road, Perth International Airport, Western Australia 6105 Australia","20 Colquhoun Rd, Perth Airport, Perth, Western Australia, 6105","(-31.97496006357249, 115.97049764169867, 0.0)",-31.97496006357249,115.97049764169867
145,145,4934,Livestock Trading,9300633049348,Rawling Road,Bunbury,Western Australia,6231,08 9351 5143,#,"Rawling Road, Bunbury, Western Australia 6231 Australia","Rawling Rd, Davenport, Bunbury, Western Australia, 6230","(-33.36248028944565, 115.68493187485231, 0.0)",-33.36248028944565,115.68493187485231
